PropertyID,Month,Rent
MH 1495,2025-08,28042.35
MH 1495,2025-09,30868.91
MH 1495,2025-10,22223.04
MH 1495,2025-11,21563.93
MH 1495,2025-12,26805.66
MH 1495,2026-01,26110.8
MH 1495,2026-02,23107.45
MH 1495,2026-03,31818.1
MH 1348ST,2025-02,26066.26
MH 1348ST,2025-03,41486.05
MH 1348ST,2025-04,0
MH 1348ST,2025-05,42017.18
MH 1348ST,2025-06,39461.2
MH 1348ST,2025-07,45493.77
MH 1348ST,2025-08,37455
MH 1348ST,2025-09,41417.44
MH 1348ST,2025-10,36815.13
MH 1348ST,2025-11,28964.71
MH 1348ST,2025-12,32790.6
MH 1348ST,2026-01,31130.74
MH 1348ST,2026-02,29188.71
MH 1348ST,2026-03,37321.46
MH1606,2025-05,10304.98
MH1606,2025-06,22644.05
MH1606,2025-07,23427.78
MH1606,2025-08,18315.37
MH1606,2025-09,"18574.13	"
MH1606,2025-10,"21973.66	"
MH1606,2025-11,11593.60
MH1606,2025-12,17309.11
MH1606,2026-01,20069.32
MH1606,2026-02,17157.55
MH1606,2026-03,23678.29
MH546,2025-01,56741.19
MH546,2025-02,43167.59
MH546,2025-03,35762.52
MH546,2025-04,43118.99
MH546,2025-05,32904.57
MH546,2025-06,35658.62
MH546,2025-07,27664.32
MH546,2025-08,27435.76
MH546,2025-09,47212.38
MH546,2025-10,49143.83
MH546,2025-11,29822.61
MH546,2025-12,20846.30
MH546,2026-01,21181.90
MH546,2026-02,24752.09
