Property ID,Mortgage Loan Interest,Insurance,Tax,Other Fixed
MH 1171,21491.28,530.25,3278.34,200
MH 1151,8200,343,1663.3,200
MH 1334,0,0,0,200
MH 1340,,,,
MH 2015,,,1533.81,
MH 1181,13000,610,1921.01,200
MH 416,7867.07,362,1904.12,200
MH 5401,7300,280,1486.73,200
MH 1530,19500,1575,3305.45,200
MH 1419,26000,766.6,4660,200
MH 1186,34376.93,1289.5,5666.67,200
MH 1314,27075.75,1289.8,3905.57,200
MH 1252,30218.02,1625.6,5344.47,200
MH 3001,28313.71,1358.5,2460.48,200
MH 1297,24028.28,1023.5,1409.31,200
MH 1326,47244.72,2418.58,5429.03,200
MH 1137,0,0,0,200
MH 3505,0,0,0,200
MH 1377,19957.17,1122.7,1550.17,150
MH 1348PL,10878.29,806,917.21,150
MH 1348ST,17012.67,1053,1362.09,4000
MH 1270,11778,928.5,718.32,200
MH 3430,17000,,1189.6,200
MH 1204,13000,,884.07,200
MH 1223,17082.66,,1273.38,200
MH 1165,16000,,1890.12,200
ML1348,,,,13845
ML3111,,,,12900
ML3806,,,,16400
ML1348,,,,13845
ML3111,,,,12900
ML3439,,,,10500
ML3507,,,,7600
ML1638,,,,23100
ML512,,,,34578.3
ML11088,,,,27690
ML10811,,,,10100
MH 1726,12500,456,233.11,200
MH 1922,12718.06,860.42,,200
MH 1495,21500,755,3193,2900
MH546,20956.5,1256.33,1052.38,4350
MH1606,13066.54,557,,3500
