Property ID,Total Unit,Type,Address,Company,Area
MH 1171,25,MH,"1171 W 37th Pl,Los Angeles, CA 90007",Lida Real Estate Investment LLC,USC
MH 1151,17,MH,"1151 West 37th Dr,Los Angeles, CA 90007",1153 37th Dr Development LLC,USC
MH 1334,14,MH,"1334 W 37th Pl,Los Angeles, CA 90007",Tom Wu,USC
MH 2015,17,MH,"2015 Raymond Ave,Los Angeles, CA 90007",MF Development LLC,USC
MH 1181,16,MH,"1181 Rolland Curtis Pl,Los Angeles, CA 90037",Wenhao Mu,USC
MH 416,26,MH,"416 N La Fayette Park Pl,Los Angeles, CA 90026",Lida Real Estate Investment LLC,USC
MH 5401,11,MH,"5401 Carlin St,Los Angeles, CA 90016",McW Development LLC,USC
MH 1530,11,MH,"1530 W 37th St, Los Angeles, CA 90018",MX USC Development LLC,USC
MH 1419,34,MH,"1419 W 35th St ,Los Angeles, CA 90018",MR Cal Development LLC,USC
MH 1186,45,MH,"1184 W 37th Pl, Los Angeles, CA, 90007",MW USC Development LLC,USC
MH 1314,34,MH,"1314 W 35th Pl, Los Angeles, CA 90007",USC VILLAS 1314 LLC,USC
MH 1252,39,MH,"1252 West 37th Street Los Angeles, CA 90007",MT USC Development LLC,USC
MH 3001,34,MH,"3001 Van Buren Pl, Los Angeles, CA 90007",USC Villas 3001 LLC,USC
MH 1297,31,MH,"1297-1299 W 36th St, Los Angeles, CA, 90007",MW USC Development LLC,USC
MH 1326,70,MH,"1326-1332 W 35th Pl,Los Angeles, CA 90007",USC Villas No1 LLC ,USC
MH 1137,7,MH,"1137 W 37th Dr,Los Angeles, CA 90007",Liping Tan,USC
MH 3505,4,MH,"3505 Raymond Ave,Los Angeles, CA 90007",Liping Tan,USC
MH 1377,34,MH,"1377 W 36th Pl,Los Angeles, CA 90007",USC Development 1377 LLC,USC
MH 1348PL,21,MH,"1348 W 35th Pl, Los Angeles, CA 90007",USC Development 1377 LLC,USC
MH 1348ST,32,Airbnb,"	1348 W 35th St, Los Angeles, CA 90007",MW USC Development II LLC,USC
MH 1270,26,MH,"1270 Rolland Curtis, Los Angeles, CA 90037",USC Development 1270 LLC,USC
MH 3430,32,MH,"3430 Walton Avenue, Los Angeles, CA 90007",MR Cal Development LLC,USC
MH 1204,30,MH,"1204 W 37th Drive, Los Angeles, CA 90007",Moo house Development LLC,USC
MH 1223,36,MH,"1223 W 37th D, Los Angeles, CA 90007",USC DEVELOPMENT 1223 LLC,USC
MH 1165,35,MH,"1167 W 37th Pl, Los Angeles, CA 90007",Moo house Development LLC,USC
ML1348,13,ML,"1348 West 37th Place Los Angeles, CA 90007",Leo Potucek,USC
ML3111,12,ML,"3111 Walton Avenue Los Angeles, CA 90007",Leo Potucek,USC
ML3806,12,ML,"3806 South Budlong Avenue, 1138 West 38th Street Los Angeles, CA 90037",Roy Park,USC
ML3439,10,ML,"3437 South Catalina Street Los Angeles, CA 90007",Leo Potucek,USC
ML3507,7,ML,"3507 1/2 South Budlong Avenue Los Angeles, CA 90007",Marc Meshekow,USC
ML1638,28,ML,"1638 North Soto Street Los Angeles, CA 90033",Equitable Properties LLC,USC
ML512,28,ML,"512 Veteran Avenue Los Angeles, CA 90024",Veteran Plaza,UCLA
ML11088,24,ML,"11088 Ophir Drive Los Angeles, CA 90024",A.R. Investment,UCLA
ML10811,7,ML,"10811 Ashton Avenue Los Angeles, CA 90024",10811 Ashton Apartments LP.,UCLA
MH 1726,4,MH,"1726 Midvale Ave Los Angeles, CA 90024","	MF Real Estate Investment LLC",UCLA
MH 1922,4,MH,"1922 11th Street Santa Monica, CA 90404","	MF Real Estate Investment LLC",UCLA
MH 1495,32,Airbnb,"1495 W 36th Pl Los Angeles, CA 90018","	USC Development 1495 LLC",USC
MH546,26,Airbnb,"546 North Harvard Boulevard Los Angeles, CA 90004",Lida Real Estate Investment LLC,USC
MH1606,20,Airbnb,"1606 W 11th Pl Los Angeles, CA 90015",Moo house Development LLC,USC
